list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
51,Product relation,Зв'язок продуктів,33,Has alternative intended for different market,,"<RelatedProduct> is an alternative product, often intended for another (geographical) market. Indicates the content of the alternative is identical in all respects (is own inverse)"
51,Product relation,Зв'язок продуктів,34,Cites,,<Product> cites <RelatedProduct> (inverse of code 35)
51,Product relation,Зв'язок продуктів,35,Is cited by,,<Product> is the object of a citation in <RelatedProduct> (inverse of code 34)
51,Product relation,Зв'язок продуктів,37,Is signed version of,,"<Product> is a signed copy of <RelatedProduct>. Use where signed copies are given a distinct product identifier and can be ordered separately, but are otherwise identical (inverse of code 38)"
51,Product relation,Зв'язок продуктів,38,Has signed version,,"<Product> is an unsigned copy of <RelatedProduct>. Use where signed copies are given a distinct product identifier and can be ordered separately, but are otherwise identical (inverse of code 37)"
51,Product relation,Зв'язок продуктів,39,Has related student material,,"<Product> is intended for teacher use, and the related product is for student use"
51,Product relation,Зв'язок продуктів,40,Has related teacher material,,"<Product> is intended for student use, and the related product is for teacher use"
51,Product relation,Зв'язок продуктів,41,Some content shared with,,"<Product> includes some content shared with <RelatedProduct>. Note the shared content does not form the whole of either product. Compare with the ‘includes’ / ‘is part of’ relationship pair (codes 01 and 02), where the shared content forms the whole of one of the products, and with the ‘alternative format’ relationship (code 06), where the shared content forms the whole of both products (code 41 is own inverse)"
51,Product relation,Зв'язок продуктів,42,Is later edition of first edition,,"<Product> is a later edition of <RelatedProduct>, where the related product is the first edition"
51,Product relation,Зв'язок продуктів,43,Adapted from,,"<Product> is an adapted (dramatized, abridged, novelized etc) version of <RelatedProduct> (inverse of code 44). Only for use in ONIX 3.0 or later"
51,Product relation,Зв'язок продуктів,44,Adapted as,,<Product> is the original from which <RelatedProduct> is adapted (dramatized etc) (inverse of code 43). Only for use in ONIX 3.0 or later
51,Product relation,Зв'язок продуктів,45,Has linked product offer,,"Purchases of <Product> may qualify for one or more copies of <RelatedProduct> either free of charge or at a reduced price (inverse of code 48). This may be dependent on retailer participation, upon price and upon the quantity of the <Product> purchased. Only for use in ONIX 3.0 or later"
51,Product relation,Зв'язок продуктів,46,May be substituted by,,"If ordered, <Product> may (at the supplier’s discretion) be substituted and the <RelatedProduct> supplied instead (inverse of code 47). Only for use in ONIX 3.0 or later"
51,Product relation,Зв'язок продуктів,47,May be substituted for,,"If ordered, <RelatedProduct> may (at the supplier’s discretion) be substituted and the <Product> supplied instead (inverse of code 46). Only for use in ONIX 3.0 or later"
51,Product relation,Зв'язок продуктів,48,Is linked product offer,,"Purchases of <RelatedProduct> may qualify for one or more copies of <Product> either free of charge or at a reduced price (inverse of code 45). This may be dependent on retailer participation, upon price and upon the quantity of the <RelatedProduct> purchased. Only for use in ONIX 3.0 or later"
53,Returns conditions code type,Тип коду умов повернення,00,Proprietary returns coding scheme,,Note that a distinctive <ReturnsCodeTypeName> is required with proprietary coding schemes. Only for use in ONIX 3.0 or later
53,Returns conditions code type,Тип коду умов повернення,01,French book trade returns conditions code,,Maintained by CLIL (Commission Interprofessionnel du Livre). Returns conditions values in <ReturnsCode> should be taken from the CLIL list
53,Returns conditions code type,Тип коду умов повернення,02,BISAC Returnable Indicator code,,Maintained by BISAC: Returns conditions values in <ReturnsCode> should be taken from List 66
53,Returns conditions code type,Тип коду умов повернення,03,UK book trade returns conditions code,,"NOT CURRENTLY USED – BIC has decided that it will not maintain a code list for this purpose, since returns conditions are usually at least partly based on the trading relationship"
53,Returns conditions code type,Тип коду умов повернення,04,ONIX Returns conditions code,,Returns conditions values in <ReturnsCode> should be taken from List 204
55,Date format,,00,YYYYMMDD,,"Common Era year, month and day (default for most dates)"
55,Date format,,01,YYYYMM,,Year and month
55,Date format,,02,YYYYWW,,Year and week number
55,Date format,,03,YYYYQ,,"Year and quarter (Q = 1, 2, 3, 4, with 1 = Jan to Mar)"
55,Date format,,04,YYYYS,,"Year and season (S = 1, 2, 3, 4, with 1 = ‘Spring’)"
55,Date format,,05,YYYY,,Year (default for some dates)
55,Date format,,06,YYYYMMDDYYYYMMDD,,Spread of exact dates
55,Date format,,07,YYYYMMYYYYMM,,Spread of months
55,Date format,,08,YYYYWWYYYYWW,,Spread of week numbers
55,Date format,,09,YYYYQYYYYQ,,Spread of quarters
55,Date format,,10,YYYYSYYYYS,,Spread of seasons
55,Date format,,11,YYYYYYYY,,Spread of years
55,Date format,,12,Text string,,"For complex, approximate or uncertain dates, or dates BCE. Suggested maximum length 100 characters"
55,Date format,,13,YYYYMMDDThhmm,,"Exact time. Use ONLY when exact times with hour/minute precision are relevant. By default, time is local. Alternatively, the time may be suffixed with an optional ‘Z’ for UTC times, or with ‘+’ or ‘-’ and an hhmm timezone offset from UTC. Times without a timezone are ‘rolling’ local times, times qualified with a timezone (using Z, + or -) specify a particular instant in time"
55,Date format,,14,YYYYMMDDThhmmss,,"Exact time. Use ONLY when exact times with second precision are relevant. By default, time is local. Alternatively, the time may be suffixed with an optional ‘Z’ for UTC times, or with ‘+’ or ‘-’ and an hhmm timezone offset from UTC. Times without a timezone are ‘rolling’ local times, times qualified with a timezone (using Z, + or -) specify a particular instant in time"
55,Date format,,20,YYYYMMDD (H),,Year month day (Hijri calendar)
55,Date format,,21,YYYYMM (H),,Year and month (Hijri calendar)
55,Date format,,25,YYYY (H),,Year (Hijri calendar)
55,Date format,,32,Text string (H),,"For complex, approximate or uncertain dates (Hijri calendar), text would usually be in Arabic script. Suggested maximum length 100 characters"
57,Unpriced item type,Тип товару без ціни,01,Free of charge,Безкоштовно,
57,Unpriced item type,Тип товару без ціни,02,Price to be announced,,
57,Unpriced item type,Тип товару без ціни,03,Not sold separately,Не продається окремо,Not sold separately at retail
57,Unpriced item type,Тип товару без ціни,04,Contact supplier,Зверніться до постачальника,May be used for books that do not carry a recommended retail price; when goods can only be ordered ‘in person’ from a sales representative; when an ONIX file is ‘broadcast’ rather than sent one-to-one to a single trading partner; or for digital products offered on subscription or with pricing which is too complex to specify in ONIX
57,Unpriced item type,Тип товару без ціни,05,Not sold as set,Не продається набором,When a collection that is not sold as a set nevertheless has its own ONIX record
57,Unpriced item type,Тип товару без ціни,06,Revenue share,,"Unpriced, but available via a pre-determined revenue share agreement"
57,Unpriced item type,Тип товару без ціни,07,Calculated from contents,,Price calculated as sum of individual prices of components listed as Product parts. Only for use in ONIX 3.0 or later
57,Unpriced item type,Тип товару без ціни,08,Supplier does not supply,,"The supplier does not operate, or does not offer this product, in this part of the market as indicated by <Territory>. Use when other prices apply in different parts of the market (eg when the market is global, but the particular supplier does not operate outside its domestic territory). Use code 04 when the supplier does supply but has not set a price for part of the market. Only for use in ONIX 3.0 or later"
58,Price type,Тип ціни,01,RRP excluding tax,РРЦ без податку,"Recommended Retail Price, excluding any sales tax or value-added tax. Price recommended by the publisher or supplier for retail sales to the consumer. Also termed the Suggested Retail Price (SRP) or Maximum Suggested Retail Price (MSRP) in some countries. The retailer may choose to use this recommended price, or may choose to sell to the consumer at a lower (or occasionally, a higher) price which is termed the Actual Selling Price (ASP) in sales reports. The net price charged to the retailer depends on the RRP minus a trade discount (which may be customer-specific). Relevant tax detail must be calculated by the data recipient"
58,Price type,Тип ціни,02,RRP including tax,РРЦ з податком,"Recommended Retail Price, including sales or value-added tax where applicable. The net price charged to the retailer depends on the trade discount. Sales or value-added tax detail is usually supplied in the <Tax> composite"
58,Price type,Тип ціни,03,FRP excluding tax,,"Fixed Retail Price, excluding any sales or value-added tax, used in countries where retail price maintenance applies (by law or via trade agreement) to certain products. Price fixed by the publisher or supplier for retail sales to the consumer. The retailer must use this price, or may vary the price only within certain legally-prescribed limits. The net price charged to the retailer depends on the FRP minus a customer-specific trade discount. Relevant tax detail must be calculated by the data recipient"
58,Price type,Тип ціни,04,FRP including tax,,"Fixed Retail Price, including any sales or value-added tax where applicable, used in countries where retail price maintenance applies (by law or via trade agreement) to certain products. The net price charged to the retailer depends on the trade discount. Sales or value-added tax detail is usually supplied in the <Tax> composite"
58,Price type,Тип ціни,05,Supplier’s Net price excluding tax,,"Net or wholesale price, excluding any sales or value-added tax. Unit price charged by supplier for business-to-business transactions, without any direct relationship to the price for retail sales to the consumer, but sometimes subject to a further customer-specific trade discount based on volume. Relevant tax detail must be calculated by the data recipient"
58,Price type,Тип ціни,06,Supplier’s Net price excluding tax: rental goods,,"Unit price charged by supplier to reseller / rental outlet, excluding any sales tax or value-added tax: goods for rental (used for video and DVD)"
58,Price type,Тип ціни,07,Supplier’s Net price including tax,,"Net or wholesale price, including any sales or value-added tax where applicable. Unit price charged by supplier for business-to-business transactions, without any direct relationship to the price for retail sales to the consumer, but sometimes subject to a further customer-specific trade discount based on volume. Sales or value-added tax detail is usually supplied in the <Tax> composite"
58,Price type,Тип ціни,08,Supplier’s alternative Net price excluding tax,,"Net or wholesale price charged by supplier to a specified class of reseller, excluding any sales tax or value-added tax. Relevant tax detail must be calculated by the data recipient. (This value is for use only in countries, eg Finland, where trade practice requires two different Net prices to be listed for different classes of resellers, and where national guidelines specify how the code should be used)"
58,Price type,Тип ціни,09,Supplier’s alternative net price including tax,,"Net or wholesale price charged by supplier to a specified class of reseller, including any sales tax or value-added tax. Sales or value-added tax detail is usually supplied in the <Tax> composite. (This value is for use only in countries, eg Finland, where trade practice requires two different Net prices to be listed for different classes of resellers, and where national guidelines specify how the code should be used)"
58,Price type,Тип ціни,11,Special sale RRP excluding tax,,"Special sale RRP excluding any sales tax or value-added tax. Note ‘special sales’ are sales where terms and conditions are different from normal trade sales, when for example products that are normally sold on a sale-or-return basis are sold on firm-sale terms, where a particular product is tailored for a specific retail outlet (often termed a ‘premium’ product), or where other specific conditions or qualifications apply. Further details of the modified terms and conditions should be given in <PriceTypeDescription>"
58,Price type,Тип ціни,12,Special sale RRP including tax,,Special sale RRP including sales or value-added tax if applicable
58,Price type,Тип ціни,13,Special sale fixed retail price excluding tax,,In countries where retail price maintenance applies by law to certain products: not used in USA
58,Price type,Тип ціни,14,Special sale fixed retail price including tax,,In countries where retail price maintenance applies by law to certain products: not used in USA
58,Price type,Тип ціни,15,Supplier’s net price for special sale excluding tax,,Unit price charged by supplier to reseller for special sale excluding any sales tax or value-added tax
58,Price type,Тип ціни,17,Supplier’s net price for special sale including tax,,Unit price charged by supplier to reseller for special sale including any sales tax or value-added tax
58,Price type,Тип ціни,21,Pre-publication RRP excluding tax,,Pre-publication RRP excluding any sales tax or value-added tax. Use where RRP for pre-orders is different from post-publication RRP
58,Price type,Тип ціни,22,Pre-publication RRP including tax,,Pre-publication RRP including sales or value-added tax if applicable. Use where RRP for pre-orders is different from post-publication RRP
58,Price type,Тип ціни,23,Pre-publication fixed retail price excluding tax,,In countries where retail price maintenance applies by law to certain products: not used in USA
58,Price type,Тип ціни,24,Pre-publication fixed retail price including tax,,In countries where retail price maintenance applies by law to certain products: not used in USA
